"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","CATTLE, COWS, BEEF - INVENTORY  -  <b>VALUE</b>","CATTLE, COWS, BEEF - INVENTORY  -  <b>CV (%)</b>","CATTLE, COWS, MILK - INVENTORY  -  <b>VALUE</b>","CATTLE, COWS, MILK - INVENTORY  -  <b>CV (%)</b>","CATTLE, INCL CALVES - INVENTORY  -  <b>VALUE</b>","CATTLE, INCL CALVES - INVENTORY  -  <b>CV (%)</b>"
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","","99","OTHER COUNTIES","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","1,274,000","","57,300","","",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","BELL","027","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","37,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","BOSQUE","035","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","23,500","","","","52,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","COLLIN","085","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","17,400","","","","42,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","COOKE","097","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","86,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","CORYELL","099","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","25,500","","","","55,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","DALLAS","113","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","3,600","","","","8,800",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","DELTA","119","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","8,400","","","","19,300",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","DENTON","121","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","22,500","","","","39,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","ELLIS","139","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","28,000",""," (D)","","51,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","FALLS","145","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","115,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","FANNIN","147","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","38,500","","","","76,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","GRAYSON","181","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","29,000","","200","","54,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","HAMILTON","193","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","26,000","","9,800","","67,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","HILL","217","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","61,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","HUNT","231","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","34,500","","","","62,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","JOHNSON","251","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","28,000","","4,200","","64,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","KAUFMAN","257","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","30,000","","","","82,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","LAMAR","277","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","90,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","LIMESTONE","293","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","36,000","","400","","79,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","MCLENNAN","309","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","35,500","","3,400","","87,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","MILAM","331","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","81,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","NAVARRO","349","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","83,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","ROCKWALL","397","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","2,600","","","","4,300",""
