"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","BELL","027","","","00000000","","HAY","HAY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","26,811","21.1"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","BOSQUE","035","","","00000000","","HAY","HAY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","32,818","21.1"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","COLLIN","085","","","00000000","","HAY","HAY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","38,063","21.1"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","COOKE","097","","","00000000","","HAY","HAY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","63,213","21.1"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","CORYELL","099","","","00000000","","HAY","HAY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","22,467","21.1"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","DALLAS","113","","","00000000","","HAY","HAY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","12,322","21.1"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","DELTA","119","","","00000000","","HAY","HAY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","12,842","21.1"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","DENTON","121","","","00000000","","HAY","HAY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","51,238","21.1"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","ELLIS","139","","","00000000","","HAY","HAY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","58,504","21.1"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","FALLS","145","","","00000000","","HAY","HAY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","27,272","21.1"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","FANNIN","147","","","00000000","","HAY","HAY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","74,261","21.1"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","GRAYSON","181","","","00000000","","HAY","HAY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","60,067","21.1"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","HAMILTON","193","","","00000000","","HAY","HAY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","27,356","21.1"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","HILL","217","","","00000000","","HAY","HAY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","44,825","21.1"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","HUNT","231","","","00000000","","HAY","HAY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","68,872","21.1"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","JOHNSON","251","","","00000000","","HAY","HAY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","53,122","21.1"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","KAUFMAN","257","","","00000000","","HAY","HAY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","59,508","21.1"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","LAMAR","277","","","00000000","","HAY","HAY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","78,202","21.1"
