Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,BLACKLANDS,40,BELL,27,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"67,409.00",24.2
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,BLACKLANDS,40,BOSQUE,35,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,965.00",24.2
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,BLACKLANDS,40,COLLIN,85,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"22,840.00",24.2
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,BLACKLANDS,40,COOKE,97,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,002.00",24.2
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,BLACKLANDS,40,CORYELL,99,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,657.00",24.2
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,BLACKLANDS,40,DALLAS,113,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,,(D)
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,BLACKLANDS,40,DELTA,119,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"10,176.00",24.2
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,BLACKLANDS,40,DENTON,121,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,576.00",24.2
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,BLACKLANDS,40,ELLIS,139,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"65,161.00",24.2
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,BLACKLANDS,40,FALLS,145,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"66,617.00",24.2
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,BLACKLANDS,40,FANNIN,147,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"24,974.00",24.2
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,BLACKLANDS,40,GRAYSON,181,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"33,034.00",24.2
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,BLACKLANDS,40,HAMILTON,193,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,,(D)
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,BLACKLANDS,40,HILL,217,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,02,992.00",24.2
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,BLACKLANDS,40,HUNT,231,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"8,275.00",24.2
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,BLACKLANDS,40,JOHNSON,251,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"21,843.00",24.2
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,BLACKLANDS,40,KAUFMAN,257,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"10,058.00",24.2
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,BLACKLANDS,40,LAMAR,277,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"14,465.00",24.2
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,BLACKLANDS,40,LIMESTONE,293,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"7,114.00",24.2
