"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","CORN - ACRES PLANTED  -  <b>VALUE</b>","CORN - ACRES PLANTED  -  <b>CV (%)</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>VALUE</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","","99","OTHER COUNTIES","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","541,800","0","400,160","4.9","50,515,400","6.9","126.2","3.7"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","BELL","027","","","00000000","","CORN","TOTAL","NOT SPECIFIED","75,800","0","70,600","13.8","7,702,000","14.5","109.1","4"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","COLLIN","085","","","00000000","","CORN","TOTAL","NOT SPECIFIED","19,100","0","17,300","7.5","941,000","26.8","54.4","25.5"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","ELLIS","139","","","00000000","","CORN","TOTAL","NOT SPECIFIED","44,900","0","41,900","8","2,967,000","20.7","70.8","18.9"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","FALLS","145","","","00000000","","CORN","TOTAL","NOT SPECIFIED","70,400","0","65,100","10.8","6,139,000","11.8","94.3","4.1"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","GRAYSON","181","","","00000000","","CORN","TOTAL","NOT SPECIFIED","18,900","0","17,400","12.4","1,152,000","21.7","66.2","17.6"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","HILL","217","","","00000000","","CORN","TOTAL","NOT SPECIFIED","101,000","0","88,900","7.7","8,641,000","9.6","97.2","5.4"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","HUNT","231","","","00000000","","CORN","TOTAL","NOT SPECIFIED","6,900","0","6,430","8.2","320,000","9.7","49.8","5"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","JOHNSON","251","","","00000000","","CORN","TOTAL","NOT SPECIFIED","12,200","0","10,800","15.1","620,000","22.2","57.4","15.9"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","LAMAR","277","","","00000000","","CORN","TOTAL","NOT SPECIFIED","21,400","0","19,500","6.5","1,254,000","9.9","64.3","7.4"
