"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","COTTON, UPLAND - ACRES HARVESTED  -  <b>VALUE</b>","COTTON, UPLAND - ACRES HARVESTED  -  <b>CV (%)</b>","COTTON, UPLAND - ACRES PLANTED  -  <b>VALUE</b>","COTTON, UPLAND - ACRES PLANTED  -  <b>CV (%)</b>","COTTON, UPLAND - PRODUCTION, MEASURED IN 480 LB BALES  -  <b>VALUE</b>","COTTON, UPLAND - PRODUCTION, MEASURED IN 480 LB BALES  -  <b>CV (%)</b>","COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE  -  <b>VALUE</b>","COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE  -  <b>CV (%)</b>"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","","99","OTHER COUNTIES","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","190,390","0.4","240,000","0.4","292,260","1.8","737","1.8"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","BELL","027","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","3,820","1.8","4,100","1.8","8,100","8.6","1,018","8.6"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","ELLIS","139","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","5,310","0.9","10,700","0.9","10,800","5.5","976","5.4"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","HILL","217","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","12,800","0.6","13,200","0.1","28,600","2.7","1,073","2.7"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","MCLENNAN","309","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","6,420","0.4","6,700","0.1","18,500","4","1,383","4"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","MILAM","331","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","8,680","0.7","8,900","0.1","18,800","3.7","1,040","3.7"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","NAVARRO","349","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","12,800","0.2","14,700","0.1","22,000","5.7","825","5.7"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","WILLIAMSON","491","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","7,860","0.4","8,200","0.1","18,700","5.1","1,142","5.1"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","COASTAL BEND","82","KLEBERG","273","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","36,600","0.2","45,200","0","60,900","1.8","799","1.8"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","COASTAL BEND","82","NUECES","355","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","127,600","0.2","136,000","0","273,100","4.2","1,027","4.2"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","COASTAL BEND","82","REFUGIO","391","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","44,600","0.4","46,500","0","78,000","7.4","839","7.5"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","COASTAL BEND","82","SAN PATRICIO","409","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","100,600","0.2","108,000","0","225,000","3.6","1,074","3.6"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","CROSS TIMBERS","30","EASTLAND","133","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","2,440","4.4","2,500","4.4","3,500","6.7","689","6.7"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","CROSS TIMBERS","30","YOUNG","503","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","1,130","10.7","1,200","10.7","700","9.3","297","9.3"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","BRAZOS","041","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","9,100","0.3","9,800","0.1","19,000","7.8","1,002","7.7"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","ROBERTSON","395","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","13,300","0.7","13,500","0.1","28,000","7.8","1,011","7.9"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","CONCHO","095","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","34,400","0.2","37,500","0","40,000","6.7","558","6.7"
