Rank,County,"Mean Annual
Precipitation (in.)","Mean Annual
Precipitation (cm.)"
1,JASPER,60.57,153.8478
2,LIBERTY,60.52,153.7208
3,JEFFERSON,59.89,152.1206
4,ORANGE,59,149.86
5,BRAZORIA,57.24,145.3896
6,HARDIN,56.5,143.51
7,NEWTON,54.9,139.446
8,TYLER,54.79,139.1666
9,SABINE,54.4,138.176
10,CHAMBERS,54.08,137.3632
11,HARRIS,53.96,137.0584
12,SHELBY,53.01,134.6454
13,POLK,51.85,131.699
14,SAN JACINTO,51.77,131.4958
15,PANOLA,51.51,130.8354
16,BOWIE,51.24,130.1496
17,HARRISON,51.22,130.0988
18,SAN AUGUSTINE,51.1,129.794
19,FORT BEND,49.34,125.3236
20,MONTGOMERY,49.32,125.2728
21,MARION,49.26,125.1204
22,GREGG,49.06,124.6124
23,MORRIS,48.76,123.8504
24,TITUS,48.57,123.3678
25,WALKER,48.51,123.2154
26,CHEROKEE,48.5,123.19
27,NACOGDOCHES,48.4,122.936
28,RUSK,48.22,122.4788
29,CASS,48.2,122.428
30,TRINITY,48.1,122.174
31,MATAGORDA,48.03,121.9962
32,RED RIVER,47.83,121.4882
33,LAMAR,47.82,121.4628
34,HOPKINS,47.69,121.1326
35,FRANKLIN,47.65,121.031
36,UPSHUR,47.08,119.5832
37,ANGELINA,46.62,118.4148
38,ANDERSON,46.38,117.8052
39,WHARTON,45.92,116.6368
40,WOOD,45.88,116.5352
41,HOUSTON,45.48,115.5192
42,SMITH,45.4,115.316
43,CAMP,45.1,114.554
44,DELTA,45,114.3
45,COLORADO,44.72,113.5888
46,GRIMES,44.7,113.538
47,FANNIN,44.56,113.1824
48,WASHINGTON,44.15,112.141
49,MADISON,44,111.76
50,GALVESTON,43.84,111.3536
51,HUNT,43.7,110.998
52,VAN ZANDT,43.68,110.9472
53,RAINS,43.5,110.49
54,LEON,43.08,109.4232
55,FREESTONE,42.31,107.4674
56,LAVACA,42.23,107.2642
57,JACKSON,42.1,106.934
58,GRAYSON,42.04,106.7816
59,HENDERSON,42.03,106.7562
60,LIMESTONE,41.4,105.156
61,COLLIN,41.01,104.1654
62,AUSTIN,40.68,103.3272
63,FAYETTE,40.31,102.3874
64,VICTORIA,40.1,101.854
65,REFUGIO,40.1,101.854
66,BRAZOS,39.67,100.7618
67,NAVARRO,39.48,100.2792
68,ROCKWALL,39.4,100.076
69,ROBERTSON,39.03,99.1362
70,KAUFMAN,38.9,98.806
71,ELLIS,38.81,98.5774
72,GOLIAD,38.58,97.9932
73,BURNET,38.5,97.79
74,WALLER,38.2,97.028
75,BASTROP,38.04,96.6216
76,FALLS,37.99,96.4946
77,DENTON,37.79,95.9866
78,KENDALL,37.36,94.8944
79,HAYS,37.19,94.4626
80,HILL,37.15,94.361
81,DALLAS,37.05,94.107
82,COOKE,36.9,93.726
83,CALHOUN,36.86,93.6244
84,JOHNSON,36.25,92.075
85,DEWITT,36.08,91.6432
86,LEE,36.02,91.4908
87,GONZALES,36.02,91.4908
88,ARANSAS,35.96,91.3384
89,BELL,35.81,90.9574
90,BANDERA,35.78,90.8812
91,COMAL,35.74,90.7796
92,SAN PATRICIO,35.54,90.2716
93,MILAM,35.52,90.2208
94,WILLIAMSON,35.11,89.1794
95,BOSQUE,35.07,89.0778
96,SOMERVELL,34.82,88.4428
97,CALLAHAN,34.78,88.3412
98,BLANCO,34.75,88.265
99,PARKER,34.7,88.138
100,GUADALUPE,34.5,87.63
101,WISE,34.02,86.4108
102,TARRANT,34.01,86.3854
103,MONTAGUE,33.72,85.6488
104,TRAVIS,33.65,85.471
105,BEE,33.48,85.0392
106,CORYELL,33.43,84.9122
107,MCLENNAN,33.34,84.6836
108,HOOD,33.1,84.074
109,BEXAR,32.92,83.6168
110,KERR,32.6,82.804
111,CALDWELL,32.43,82.3722
112,NUECES,32.26,81.9404
