
SELECT ad.InventoryYear, ad.IPCCSectoral as code, ad.EmissionYear as emissionYear, 'Activity Data' as PollutantName, 'AD' as PollutantID,
		s.SourceID, s.Source as SourceName, a.ActivityID, a.Activity as ActivityName, ad.ActivityUnits as Unit, SUM(ad.Activity) as Emission
		
		FROM ActivitiesData as ad, IPCCSectoral ip, Source s,Activity a
		WHERE ad.IPCCSectoral  = ip.IPCCSectoralID
		AND ad.`SourceCode` = s.`SourceID`
		AND ad.`InventoryYear` = '2020'
		AND ad.EmissionYear BETWEEN '1990' AND  '2020'
		and a.`ActivityID` = ad.ActivityCode
		AND ad.TerritoryCode <= 9
		AND ip.IPCCSectoralCat = '3' 
	
		GROUP BY ad.InventoryYear, ad.IPCCSectoral, ad.EmissionYear, s.SourceID, s.Source, a.ActivityID
	
		ORDER BY ip.IPCCSectoral, ad.EmissionYear
		<BR>"Gas","NFR/CRF Group","Source","Activity","Units","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Carbon Dioxide as Carbon","3G","","","kilotonne","277.30404906539","275.65441120953","275.34092278147","172.80906762548","277.63032136674","293.34220926323","311.11965948386","125.11585330184","235.30673693744","267.54866221248","172.97694183688","118.37525605286","153.8826002294","364.77466383156","381.46409866205","383.81250790246","380.15095869587","370.1623619519","381.12638164467","338.15440231789","322.1911826283","344.27647811754","296.46477010338","254.71308115898","324.45754185315","253.93632936469","253.95660631663","256.12739520324","288.65081042921","357.41343687115","259.16999671145"
"Carbon Dioxide as Carbon","3G1","Liming","Limestone","kilotonne","198.516297659242","197.490166333614","197.264764016378","105.087946341396","189.852473793834","194.485691954816","215.652076910301","114.980490984442","196.992073446363","182.407952624728","118.690540759711","97.7567634402639","122.902446654678","300.522291864555","314.228464459461","325.210894238986","304.886112676667","326.18846461802","306.98074682201","284.133949024921","265.211217096728","303.082882032172","243.523931272074","214.461226402128","277.701789242714","209.401095856811","210.839266832323","219.064210234298","239.017885440194","312.3038757784","238.033964038383"
"Carbon Dioxide as Carbon","3G2","Liming","Dolomite","kilotonne","78.7877514061521","78.1642448759162","78.0761587650897","67.7211212840854","87.7778475729035","98.8565173084141","95.4675825735628","10.1353623174014","38.314663491078","85.1407095877494","54.2864010771727","20.6184926125966","30.9801535747259","64.2523719670048","67.2356342025918","58.6016136634789","75.2648460191997","43.9738973338764","74.1456348226555","54.0204532929673","56.9799655315714","41.1935960853677","52.9408388313033","40.2518547568531","46.7557526104318","44.5352335078824","43.1173394843065","37.0631849689403","49.6329249890189","45.109561092755","21.1360326730657"
"Carbon Dioxide as Carbon","3H","","","kilotonne","89.366510264741","91.656158029348","64.776270058654","54.128011880312","58.464396466993","40.702442461968","37.075680086375","29.800717653242","39.047881385799","40.295886437825","36.644840054573","38.727633630334","51.325643133798","41.77422614105","63.207736456243","53.369212645764","52.662539771218","55.276233233697","50.864579609501","66.001909088865","67.541699119758","76.39654131955","74.419363273682","59.011748214276","80.029552461713","86.902272551274","95.815078699019","92.545566831887","88.442666692097","87.345540252828","63.891874665706"
"Carbon Dioxide as Carbon","3H","Fertiliser Application","Urea Application","kilotonne","89.1485953752716","91.4317579698908","64.6186669594996","53.982671499174","58.3094272041884","40.5944556462692","36.9806869955006","29.7279239111004","38.9530405226828","40.1959958847726","36.5553162182506","38.63273233963","51.2037495024742","41.6734482007584","63.0575102911362","53.23438138345","52.5306836290426","55.1031117014134","50.7447158195276","65.8290647176882","67.3602480044482","76.1955600095024","74.2421259586348","58.8742964016496","79.8395449641128","86.6969222610882","95.613745241761","92.3603975154024","88.2590722350486","87.1631347857014","63.7072247556034"
"Carbon Dioxide as Carbon","3H","Agriculture - application of urea","Urea consumption","kilotonne","0.217914889469504","0.224400059457173","0.157603099154203","0.145340381137711","0.154969262804341","0.107986815699062","0.0949930908744684","0.0727937421411629","0.0948408631162354","0.0998905530525039","0.0895238363224603","0.0949012907035973","0.121893631324122","0.100777940291788","0.150226165106324","0.134831262313825","0.131856142175213","0.173121532284005","0.11986378997305","0.172844371176722","0.181451115309804","0.200981310047562","0.177237315047557","0.137451812626841","0.190007497599831","0.205350290186202","0.201333457258355","0.185169316484229","0.183594457048344","0.182405467126783","0.184649910103093"
