X,Y,OBJECTID,Type,Name,Address,City,Zip,County,Certified,Organic,Certifie_1,Fruit,Vegetables,Herbs,Dairy,Egg,Beef,Poultry,Hog,Other_Anim,Other_Prod,Farm_Stand,Pick_your,Direct_Mea,CSA,Farmers_Ma,Wholesale,Restaurant,Agritouris,Education,X_Coord,Y_Coord,Website
-77.0134110909716,38.6808739608553,1,Farm,360 Farm,"360 Farmington Road, W",Accokeek,20607,Prince Georges, , , , , , , ,Yes, ,Yes, ,Goat, , , , , , , , , , ,-8573093.7069,4676062.0501,http://www.agrilicious.org/360-farm
-76.8867206156604,39.05331224233,2,Farm,5 A Day CSA,12001 Old Baltimore Pike,Beltsville,20705,Prince Georges, , , ,Yes,Yes,Yes, , , , , , , ,Yes, , ,Yes,Yes, , ,Yes, ,-8558990.5877,4729310.9734,http://marylandsbest.net/producer/5-a-day-csa/
-76.6854049499103,39.4202403782332,3,Farm,5 Cow Farm,1117 Greenspring Valley Road,Lutherville,21093,Baltimore, , , , , , , ,Yes,Yes,Yes, , , , , , , , , , , , ,-8536580.2303,4782047.42,http://www.localharvest.org/5-cow-farm-m40447
-76.8355357085125,38.5727784072826,4,Farm,5050 Greenhouse At Jameson Farm,5050 Bryantown Road,Waldorf,20601,Charles, , , , ,Yes, , , , , , , , ,Yes,Yes, , , ,Yes, ,Yes, ,-8553292.7099,4660659.195,http://marylandsbest.net/producer/5050-greenhouse-at-jameson-farm/
-76.6679651692739,38.6905445574373,5,Farm,521 Family Farm,3365 Hall Creek La,Owings,20736,Calvert, , , ,Yes,Yes, , ,Yes, ,Yes, ,"Goat, Sheep", , , , , , , , , , ,-8534638.8428,4677441.1748,http://www.calvertag.com/farms/521familyfarm.html
-75.723923897156,38.4537009966129,6,Farm,A Sign From Above,25625 Rising Eagle Rd,Mardela Springs,21837,Wicomico, ,Yes, ,Yes,Yes, , ,Yes, , , , , , , , , ,Yes,Yes, , , ,-8429548.6491,4643718.3041,https://www.facebook.com/asignfromabovefarm
-76.0619646942512,38.9191412650109,7,Farm,A. H. Herb N Craft,13475 Ocean Gtwy,Queen Anne,21657,Talbot, ,Yes, ,Yes,Yes,Yes, ,Yes, ,Yes, , , ,Yes, , , , ,Yes, , , ,-8467179.1785,4710095.8619,http://www.localharvest.org/a-h-herbn-craft-farm-m50518
-77.2533572307684,39.297769568622,8,Farm,Abundant Grace Farm,26931 Clarksburg Road,Damascus,21702,Montgomery, , , ,Yes,Yes,Yes, , , , , , , , , , , ,Yes, , , , ,-8599804.389,4764414.7063,http://www.abundantgracefarm.com
-77.067840164055,38.6928571754862,9,Farm,Accokeek Foundation / Ecosystem Farm,3400 Bryan Point Road,Accokeek,20607,Prince Georges,Yes - USDA, , , ,Yes,Yes, , , , , , , , ,Yes, ,Yes, , , ,Yes, ,-8579152.7236,4677771.0051,http://www.accokeek.org
-76.8526432786822,39.3490217613949,10,Farm,Adam's Acres,2849 Hernwood Rd,Woodstock,21163,Baltimore, , , ,Yes,Yes,Yes, ,Yes, , , , , ,Yes, , , , , , , , ,-8555197.1159,4771789.971,http://marylandsbest.net/producer/adam-s-acres/
